Entities,Label,Confidence,Count
200 years,neg,61.64673,1
2002 at,neg,70.684122,1
2016 Summer,neu,87.452863,1
20s,neu,50.188065,1
20-year,neu,77.73264,1
21:01 GMT,neg,49.368462,1
21:16 GMT,pos,55.264617,1
21-year,neu,66.05823,1
21-year,pos,47.480025,1
22-year,pos,60.907919,1
23-year,pos,45.121806,1
23-year,neg,54.065561,1
24-hour,neg,40.336477,1
24-year,neu,72.771516,1
24-year,neg,64.30182,1
25-year,pos,54.052668,1
25-year,neu,73.221817,1
26 days,neu,57.879561,1
26-year,neu,44.866364,1
26-year,neu,59.134537,1
28-year,neu,73.746236,1
28-year,neu,55.451838,1
28-year,neg,45.775553,1
29-year,neu,46.173924,1
30 years,pos,44.769851,1
30km,neg,71.955867,3
30km,neg,42.061138,1
30-year,neu,64.040288,1
32-year,pos,58.08347,1
33 days,neg,70.108702,2
33-year,pos,50.360312,1
34-year,neu,64.443238,1
36-year,neg,55.752244,1
37-year,neg,49.534805,1
40 days,neu,87.946479,1
40 years,pos,48.62605,1
40-hour,neg,38.976081,1
40-year,neu,51.989457,1
42 minutes,neg,51.763898,1
48 hours,neu,63.404803,1
50 days,neg,58.032951,1
50 years,neu,63.262502,1
500 days,neg,51.269375,1
54-year,neu,40.832112,1
59-year,neg,46.200627,1
60 days,pos,53.814328,1
61-year,neg,42.301727,1
64 years,neg,42.711834,2
70 years,pos,58.377912,1
70 years,neg,77.929549,2
72 hours,neg,62.736977,1
76-year,neu,69.775221,1
8:39PM ET,neg,65.547264,1
8pm,pos,42.82155,1
97-year,pos,70.136068,2
a day,neg,67.70527,1
a day,neu,56.45233,1
a day,pos,47.598062,1
a day,neg,76.082022,1
a day,neg,53.398171,1
A day,neg,59.193788,1
a day,neg,51.010036,1
a day,neg,53.354458,1
a decade,neg,56.945108,1
a decade,neu,73.151104,1
a decade,pos,63.092465,1
a decades,neg,51.99372,1
a hundred years,pos,59.436381,1
a month,neg,38.142239,1
A month,neu,63.59526,1
a month,pos,44.650221,2
a night,pos,46.2997,1
a night,neg,49.048273,1
a second,neg,41.453442,1
a second,neg,57.6943,2
A week,pos,43.609034,1
a week,neu,70.398119,1
A week,pos,45.740633,1
a year,neu,77.118556,1
a year,neg,72.502202,1
a year,neg,58.425292,1
a year,neu,75.076305,1
a year,neu,77.467405,1
a year,neg,35.629835,2
a year,neg,65.78037,1
a year,neg,70.323007,1
a year,neu,72.919458,1
a year,neu,49.65976,1
a year,neu,69.075467,1
Abbas Akhavan,neg,56.176037,1
Abd al-Qader al-Husseini,neu,76.819464,7
Abdallah Farah,pos,68.254559,1
Abdel Fattah el-Sisi,pos,68.918194,10
Abdel Hadi al-Shami,neg,85.937105,7
Abdel Mansour Hadi,pos,36.042105,1
Abd-Rabbu Mansour Hadi,neg,59.871175,1
Abdullah II,neg,53.930765,1
Abdullah II,neu,84.339806,1
Abdullah II,neu,81.647682,1
Abdullah II,neu,92.235905,2
Abdullah II. Abu Odeh,neu,49.359426,4
Abir,neu,74.85243,1
Abiy Ahmed,neu,68.643802,16
Abu Dhabi,pos,46.70564,1
Abu Dhabi,neu,75.91885,1
Abu Dhabi,neu,49.803212,1
Abu Dhabi,neu,75.534523,1
Abu Nihad,neu,93.67547,14
ACHPR,neg,84.72159,4
Addis Ababa,neu,70.25965,1
"Addis Ababa, Ethiopia",pos,59.716137,2
Adel Hana,pos,40.809029,1
Adidas,neu,79.912263,1
Adnan Abu Odeh,neu,80.74749,3
Afghan,neg,78.891934,6
Afghan,neg,56.817965,3
Afghan,neg,51.417776,3
Afghan,neg,78.853936,4
Afghan,neg,67.873377,2
Afghan,neg,83.169138,4
Afghan army,neu,68.909295,1
Afghan government,neu,48.607363,2
Afghan government,neu,86.37197,2
Afghan government,neg,87.788131,2
Afghanistan,neu,59.994115,4
Afghanistan,neg,49.389372,3
Afghanistan,pos,55.819386,3
Afghanistan,neg,80.571915,3
Afghanistan,neg,46.955073,1
Afghanistan,pos,45.053071,4
Afghanistan,neu,58.079755,1
Afghanistan,neu,69.917854,1
Afghanistan,neu,87.579568,10
Afghanistan,neu,82.808212,1
Afghanistan,neg,62.767495,8
Afghans,neg,52.730349,1
Afghans,neg,53.818826,1
AFP,neg,60.083135,1
AFP,neg,76.8542,1
AFP news agency,neg,68.956948,1
AFP news agency,neu,63.959222,1
Africa,neu,76.588005,1
Africa,neg,78.356188,2
Africa,neu,91.491993,1
Africa,neu,67.201654,1
Africa,neu,55.034444,1
Africa Command,neg,55.499383,2
African,neu,61.027981,14
African,neg,44.510813,1
African affairs,pos,45.640383,1
African Charter on Democracy,neu,61.689917,1
African Charter on Human and Peoples' Rights,neg,52.741896,1
African Court on Human and Peoples' Rights,neu,67.337739,2
African Union,neu,64.004286,1
African Union,neg,91.168406,29
Africans,pos,84.597135,2
Africans,neu,70.790648,1
Afrin,neu,87.098112,1
Agency for International Development Cooperation,neu,56.30466,1
Agreed Framework,neg,42.374342,2
Agriculture Minister,pos,54.480621,1
Ahmed al-Hissi,neg,53.246588,2
Ahmed Idris,neg,51.773352,2
Ahmed Mahjoub,neg,84.172734,4
Ahmed Rashid,neu,86.144834,3
Ahmed Rashid,pos,41.018782,1
Aina Khan,pos,54.003619,2
Air China 747,pos,62.098883,1
Air China 747,neg,58.858583,1
Air China 747,neu,60.061094,2
Air Force,neg,40.105478,1
Air Force One,pos,56.996512,1
Air Force One,neu,59.036148,1
Air Force One,neu,49.856586,1
Air Force One,pos,53.210436,1
Air Force One,neg,51.347121,1
Aivin Hans,pos,36.194048,4
Akbar Al Baker,neu,66.923469,1
Akram Ahmed,neg,88.528664,2
Al Arish,neu,64.340697,1
Al Ghouri Palace,pos,51.031213,1
Al Jazeera,neu,85.157411,1
Al Jazeera,pos,43.321141,1
Al Jazeera,neu,81.474916,1
Al Jazeera,neu,90.982585,2
Al Jazeera,neu,60.445663,1
Al Jazeera,neu,71.176961,4
Al Jazeera,neu,55.751387,1
Al Jazeera,neu,81.474916,1
Al Jazeera,pos,66.873458,2
Al Jazeera,neu,76.085903,1
Al Jazeera,neg,51.181849,1
Al Jazeera,neg,57.976084,2
Al Jazeera,neu,78.760936,1
Al Jazeera,pos,43.767412,1
Al Jazeera,neu,86.045506,1
Al Jazeera,pos,42.797788,1
Al Jazeera,neu,68.78554,1
Al Jazeera,neg,90.540713,1
Al Jazeera,neu,81.474916,1
Al Jazeera,neu,67.621791,1
Al Jazeera,neu,81.474916,1
Al Jazeera,neg,64.153619,1
Al Jazeera,neu,81.474916,1
Al Jazeera,neu,83.741883,1
Al Jazeera,neu,81.474916,1
Al Jazeera,neg,51.604229,2
Al Jazeera,neg,83.055422,7
Al Jazeera,pos,50.921634,1
Al Jazeera,neu,68.679139,1
Al Jazeera,pos,51.541871,1
Al Jazeera,neu,92.087512,1
Al Jazeera,neg,61.207419,1
Al Jazeera,neg,46.050517,1
Al Jazeera,neg,57.612548,1
Al Jazeera,neu,89.586305,1
Al Jazeera,pos,37.636916,1
Al Jazeera,neg,64.195475,2
Al Jazeera,neg,76.425292,4
Al Jazeera,neu,82.313515,2
Al Jazeera,neu,54.53361,3
Al Jazeera,neu,45.833735,1
Al Jazeera,neg,84.067569,4
Al Jazeera,neu,81.474916,1
Al Jazeera,pos,47.329943,1
Al Jazeera,neg,53.208798,1
Al Jazeera,neu,56.761804,1
Al Jazeera,neu,88.770143,3
Al Jazeera,neg,64.589539,1
Al Jazeera,neg,86.968829,6
Al Jazeera,neg,66.815885,1
Al Jazeera,neg,42.960502,4
Al Jazeera,neu,63.630435,5
Al Jazeera,neu,81.474916,1
Al Jazeera,neu,77.338841,1
Al Jazeera,pos,40.379062,1
Al Jazeera,neg,71.571192,1
Al Jazeera,neu,66.920951,1
Al Jazeera,neu,53.675634,1
Al Jazeera,neg,52.101643,3
Al Jazeera,neg,54.544107,2
Al Jazeera,neu,70.084336,1
Al Jazeera Media Network,neu,60.175898,1
Al Jazeera Media Network,neu,60.175898,1
Al Jazeera News,pos,50.844477,2
Al Jazeera News,pos,47.148668,8
Al Jazeera News,neg,44.544309,8
Al Jazeera News,neu,54.424451,1
Al Jazeera News,pos,57.84923,8
Al Jazeera News,neu,51.804785,1
Al Jazeera News,pos,55.39334,2
Al Jazeera News,neg,50.569859,1
Al Jazeera News,neg,55.844658,1
Al Jazeera News,neu,85.034325,5
Al Jazeera News,neg,56.086522,4
Al Jazeera News,neg,81.191033,3
Al Jazeera News,neg,63.484508,1
Al Jazeera News,pos,54.048038,5
Al Jazeera News,pos,46.993409,4
